Time,Tx,Ty,Tz
0,0,-0,-0
0.0125,-0.00101010101010101,-0,-0
0.025,-0.00202020202020202,-0,-0
0.0375,-0.00303030303030303,-0,-0
0.05,-0.00404040404040404,-0,-0
0.0625,-0.00505050505050505,-0,-0
0.075,-0.00606060606060606,-0,-0
0.0875,-0.00707070707070707,-0,-0
0.1,-0.00808080808080808,-0,-0
0.1125,-0.00909090909090909,-0,-0
0.125,-0.0101010101010101,-0,-0
0.1375,-0.0111111111111111,-0,-0
0.15,-0.0121212121212121,-0,-0
0.1625,-0.0131313131313131,-0,-0
0.175,-0.0141414141414141,-0,-0
0.1875,-0.0151515151515152,-0,-0
0.2,-0.0161616161616162,-0,-0
0.2125,-0.0171717171717172,-0,-0
0.225,-0.0181818181818182,-0,-0
0.2375,-0.0191919191919192,-0,-0
0.25,-0.0202020202020202,-0,-0
0.2625,-0.0212121212121212,-0,-0
0.275,-0.0222222222222222,-0,-0
0.2875,-0.0232323232323232,-0,-0
0.3,-0.0242424242424242,-0,-0
0.3125,-0.0252525252525253,-0,-0
0.325,-0.0262626262626263,-0,-0
0.3375,-0.0272727272727273,-0,-0
0.35,-0.0282828282828283,-0,-0
0.3625,-0.0292929292929293,-0,-0
0.375,-0.0303030303030303,-0,-0
0.3875,-0.0313131313131313,-0,-0
0.4,-0.0323232323232323,-0,-0
0.4125,-0.0333333333333333,-0,-0
0.425,-0.0343434343434343,-0,-0
0.4375,-0.0353535353535354,-0,-0
0.45,-0.0363636363636364,-0,-0
0.4625,-0.0373737373737374,-0,-0
0.475,-0.0383838383838384,-0,-0
0.4875,-0.0393939393939394,-0,-0
0.5,-0.0404040404040404,-0,-0
0.5125,-0.0414141414141414,-0,-0
0.525,-0.0424242424242424,-0,-0
0.5375,-0.0434343434343434,-0,-0
0.55,-0.0444444444444444,-0,-0
0.5625,-0.0454545454545455,-0,-0
0.575,-0.0464646464646465,-0,-0
0.5875,-0.0474747474747475,-0,-0
0.6,-0.0484848484848485,-0,-0
0.6125,-0.0494949494949495,-0,-0
0.625,-0.0505050505050505,0,0
0.6375,-0.0515151515151515,0,0
0.65,-0.0525252525252525,0,0
0.6625,-0.0535353535353535,0,0
0.675,-0.0545454545454545,0,0
0.6875,-0.0555555555555556,0,0
0.7,-0.0565656565656566,0,0
0.712499999999999,-0.0575757575757576,0,0
0.724999999999999,-0.0585858585858586,0,0
0.737499999999999,-0.0595959595959596,0,0
0.749999999999999,-0.0606060606060606,0,0
0.762499999999999,-0.0616161616161616,0,0
0.774999999999999,-0.0626262626262626,0,0
0.787499999999999,-0.0636363636363636,0,0
0.799999999999999,-0.0646464646464646,0,0
0.812499999999999,-0.0656565656565657,0,0
0.824999999999999,-0.0666666666666667,0,0
0.837499999999999,-0.0676767676767677,0,0
0.849999999999999,-0.0686868686868687,0,0
0.862499999999999,-0.0696969696969697,0,0
0.874999999999999,-0.0707070707070707,0,0
0.887499999999999,-0.0717171717171717,0,0
0.899999999999999,-0.0727272727272727,0,0
0.912499999999999,-0.0737373737373737,0,0
0.924999999999999,-0.0747474747474748,0,0
0.937499999999999,-0.0757575757575758,0,0
0.949999999999999,-0.0767676767676768,0,0
0.962499999999999,-0.0777777777777778,0,0
0.974999999999999,-0.0787878787878788,0,0
0.987499999999998,-0.0797979797979798,0,0
0.999999999999998,-0.0808080808080808,0,0
1.0125,-0.0818181818181818,0,0
1.025,-0.0828282828282828,0,0
1.0375,-0.0838383838383839,0,0
1.05,-0.0848484848484849,0,0
1.0625,-0.0858585858585859,0,0
1.075,-0.0868686868686869,0,0
1.0875,-0.0878787878787879,0,0
1.1,-0.0888888888888889,0,0
1.1125,-0.0898989898989899,0,0
1.125,-0.0909090909090909,0,0
1.1375,-0.0919191919191919,0,0
1.15,-0.0929292929292929,0,0
1.1625,-0.0939393939393939,0,0
1.175,-0.094949494949495,0,0
1.1875,-0.095959595959596,0,0
1.2,-0.096969696969697,0,0
1.2125,-0.097979797979798,0,0
1.225,-0.098989898989899,0,0
1.2375,-0.1,0,0
1.25,-0.10150569014351,0.000814411588427988,0.000356031213162501
1.2625,-0.103119051983472,0.00237261068772998,0.000635360177343197
1.275,-0.104778702066273,0.00407670412162897,0.000856802940997999
1.2875,-0.106451646126705,0.00553810399034704,0.0010344126936995
1.3,-0.108135860481758,0.00662567845171902,0.0011743899286295
1.3125,-0.109850000681761,0.00740774122550403,0.0012776374573446
1.325,-0.111617762822473,0.00804181552682304,0.0013447351464264
1.3375,-0.113453731968853,0.00867170284431007,0.0013804694137761
1.35,-0.115355371796637,0.00936732550369701,0.0013962926956242
1.3625,-0.117309346383646,0.010173370716975,0.0014062063189205
1.375,-0.119273132497134,0.0109180620939771,0.0014362270851716
1.3875,-0.121216730707292,0.011568486996307,0.0015029000598291
1.4,-0.123112829085735,0.0121015582963441,0.0016187649025602
1.4125,-0.1249391384609,0.012506311180512,0.0017911439566793
1.425,-0.126679926248463,0.012784557885988,0.0020208189541785
1.4375,-0.128325719927388,0.012950990837447,0.0023011147684987
1.45,-0.129870982220169,0.013031581253408,0.0026183104959038
1.4625,-0.131311196679265,0.013060021985821,0.0029531667322679
1.475,-0.132640251696615,0.013073842195773,0.0032830873048944
1.4875,-0.133847985350775,0.013109995524221,0.0035851079814699
1.5,-0.134920078285617,0.013200831816477,0.0038392756149391
1.5125,-0.135838870579421,0.013368873301977,0.0040317043331427
1.525,-0.136585770418988,0.013624789980838,0.0041565045513345
1.5375,-0.1371436389449,0.013965876154807,0.0042160123146006
1.55,-0.13749939910148,0.014376915223085,0.0042197536253168
1.5625,-0.137645124964734,0.014831098275178,0.0041820964146534
1.575,-0.137578812062235,0.01529415236981,0.0041189934067303
1.5875,-0.137302884677789,0.01572883141028,0.0040444852711547
1.6,-0.136821732488918,0.016099487155004,0.0039673455225717
1.6125,-0.136140001153767,0.01637780478717,0.0038891004558143
1.625,-0.13525958613063,0.016547338417351,0.0038036712879118
1.6375,-0.134178551388308,0.0166060940267581,0.0036983387782697
1.65,-0.132890108583465,0.016567791817095,0.0035565095194128
1.6625,-0.131384124594263,0.016459680040089,0.0033613216891777
1.675,-0.12964965387477,0.0163188278323471,0.0030993993609418
1.6875,-0.127676932139913,0.016186331842431,0.0027641442852089
1.7,-0.125460085290206,0.016099877587869,0.0023577800560808
1.7125,-0.122998532721836,0.016087535486724,0.0018922943748299
1.725,-0.120297972826195,0.016163360024505,0.0013883828717122
1.7375,-0.117368537503241,0.01632444239066,0.000872640949726701
1.75,-0.114223095504766,0.016551602403147,0.000373801564275699
1.7625,-0.110874427856637,0.016812913295825,-8.13833545042983e-05
1.775,-0.107333627214024,0.017069031660801,-0.000472035414197901
1.7875,-0.103608554361035,0.017280616492366,-0.000786267634078901
1.8,-0.0997033760350599,0.0174138776841101,-0.0010226242199733
1.8125,-0.0956213459970518,0.01744659048966,-0.0011896512624923
1.825,-0.0913665054894969,0.0173713979472361,-0.0013038095533142
1.8375,-0.0869474674293858,0.0171965740470891,-0.0013865004398182
1.85,-0.0823805995213478,0.01694476595835,-0.0014601020243835
1.8625,-0.0776922130110126,0.0166495525614631,-0.0015439986726613
1.875,-0.0729191598675939,0.016350673132738,-0.0016509556493657
1.8875,-0.0681079428036177,0.016088831488593,-0.0017857082342755
1.9,-0.0633118297296596,0.0159003230535211,-0.001944112315002
1.9125,-0.0585869339239031,0.015812956267761,-0.0021146574295059
1.925,-0.0539875164372261,0.015843713708133,-0.002281104385192
1.9375,-0.0495614702104232,0.015997456463247,-0.0024263579465922
1.95,-0.0453473121455969,0.016267780103446,-0.0025363316028966
1.9625,-0.0413722164566959,0.0166392246928311,-0.0026028883111595
1.97499999999999,-0.0376517307795479,0.017090102133004,-0.0026253384914488
1.98749999999999,-0.0341917434302279,0.0175960675755981,-0.0026098513475891
1.99999999999999,-0.0309915886653319,0.0181325798459681,-0.0025677385319492
2.01249999999999,-0.0280478096277209,0.018678263105825,-0.0025119599650288
2.025,-0.0253573574173809,0.019216457877506,-0.002453590380433
2.0375,-0.0229209778029559,0.019735896307821,-0.0023981293317374
2.05,-0.0207450356399049,0.020230883638187,-0.0023441735572841
2.0625,-0.0188418276928459,0.02070178763768,-0.0022832977200994
2.075,-0.0172258938495259,0.021152674248591,-0.0022018436180906
2.0875,-0.0159126667937409,0.021591763262261,-0.0020850405830256
2.1,-0.0149136644828329,0.02202946368665,-0.0019213430670055
2.1125,-0.0142344946492389,0.022477368256957,-0.0017064408502052
2.125,-0.0138712318991999,0.022946723070424,-0.0014459936463978
2.1375,-0.0138128987442009,0.023446923672355,-0.0011562938150663
2.15,-0.0140407220222359,0.023982959505497,-0.0008617234825779
2.1625,-0.0145298918840859,0.0245537997919351,-0.0005905002885008
2.175,-0.0152508604146309,0.0251501524462451,-0.0003686321216665
2.1875,-0.0161705979381309,0.025753542148249,-0.0002138529729993
2.2,-0.0172545597436329,0.026337613743287,-0.000130743561347801
2.2125,-0.0184651659494219,0.026869555568969,-0.000108674122226201
2.225,-0.0197684493441469,0.027316619171996,-0.000122755200961999
2.2375,-0.0211398765735879,0.027653718930288,-0.000138762303488499
2.25,-0.0225729983411189,0.027871425440381,-0.000120803443615199
2.2625,-0.0240882060815389,0.027983204176953,-3.9174165399801e-05
2.275,-0.0257392634214229,0.0280293967487191,0.0001222282756589
2.2875,-0.0276105130333269,0.0280746066134681,0.000361509890193099
2.3,-0.0298055966722549,0.028199517027509,0.000659541875681298
2.3125,-0.0324269673218709,0.0284859460628321,0.000984191309746703
2.325,-0.0355490282793629,0.028999884151889,0.0012984628243231
2.3375,-0.0391928073725739,0.0297747331671501,0.0015699368926263
2.35,-0.0433094181489309,0.030801443387512,0.0017788079885034
2.3625,-0.0477784485276506,0.0320273622261791,0.001922607681503
2.375,-0.0524254512596686,0.033365653877388,0.0020159440715347
2.3875,-0.0570550084772244,0.034714431572576,0.0020860330769007
2.4,-0.0614936119177102,0.035980497745044,0.0021645015417852
2.4125,-0.0656290032917191,0.037101409918096,0.0022782283061923
2.425,-0.0694363044045944,0.038060265451542,0.0024418127187143
2.4375,-0.0729820339339161,0.0388891101129,0.0026543683836975
2.45,-0.0764042038625052,0.039658372083812,0.0029009355585313
2.4625,-0.0798728072373527,0.040457040086175,0.0031579054229825
2.475,-0.0835414780594852,0.041366756819278,0.0034011712864338
2.4875,-0.0875049040239572,0.042438261837246,0.0036141742118032
2.5,-0.0917721310619199,0.043676798413101,0.0037931763493325
2.5125,-0.0962644485052418,0.045039765959483,0.0039480646636208
2.525,-0.100837322007805,0.046447337168965,0.0040986618943692
2.5375,-0.105319131642866,0.047802647032796,0.0042683141846343
2.55,-0.109554705552708,0.049015602402314,0.0044764424839471
2.5625,-0.113442023310364,0.050023909794727,0.0047316694787976
2.575,-0.116951793376254,0.050805806445428,0.0050287746889261
2.5875,-0.120126274000214,0.051381879501267,0.0053497430264868
2.6,-0.123058835394398,0.051806850165273,0.0056681606614526
