Time,Tx,Ty,Tz
0,0,0,0
0.0125,0.00124472283530952,0.00159808611096596,0.000647604593005099
0.025,0.00259591543904047,0.00320282287735817,0.0011706546239098
0.0375,0.00400139609242334,0.00481462940387721,0.0015358052739062
0.05,0.00538703209588398,0.00643319730196055,0.0017221014398817
0.0625,0.00667018166984945,0.00805738623408322,0.0017303903519149
0.075,0.00777430368189957,0.00968533451993309,0.0015892068463958
0.0875,0.00864213967828042,0.0113147603086696,0.0013535855765336
0.1,0.00924235983421962,0.0129433285435376,0.00109554856637339
0.1125,0.00957337481520182,0.0145690532417505,0.000889711599298897
0.125,0.00965413274744675,0.0161904365626115,0.000795158710719196
0.1375,0.00951846759311625,0.0178065682852011,0.0008411528368205
0.15,0.00920794156348181,0.0194170977497747,0.0010206044128564
0.1625,0.00876152354673554,0.0210219994395778,0.0012885199179569
0.175,0.00821089103443484,0.0226213797605765,0.0015726380130771
0.1875,0.00757637849101556,0.0242152383759235,0.0017887391913885
0.2,0.00686700888865333,0.025803330171647,0.0018578602581384
0.2125,0.00608206958645419,0.027385092087036,0.0017235874491607
0.225,0.00521414186746327,0.0289596573665836,0.0013621829780774
0.2375,0.00425118737461572,0.0305258704334147,0.000787133336994594
0.25,0.00318008528138525,0.0320824037514635,4.47782747058992e-05
0.2625,0.00198902011900004,0.0336278675730133,-0.000795581550631801
0.275,0.000670730569766298,0.0351610014487073,-0.0016538785618313
0.2875,-0.000776591156274264,0.0366807809808687,-0.0024536143760683
0.3,-0.0023503343126412,0.0381864238489704,-0.0031332276430025
0.3125,-0.00404044768127931,0.039677629789201,-0.0036559966139199
0.325,-0.00583271688244857,0.0411544628445333,-0.0040152892351578
0.3375,-0.00770738398968229,0.0426174942929712,-0.0042334552499179
0.35,-0.00963981235778588,0.0440678253026676,-0.00435906089117771
0.3625,-0.0115978789655437,0.0455073331013929,-0.0044582412211565
0.375,-0.0135434679816538,0.04693865335121,-0.0046063071277551
0.3875,-0.0154308484858118,0.0483653780067184,-0.0048742629989553
0.4,-0.0172105080805154,0.0497918480005954,-0.0053174069484452
0.4125,-0.0188352166928206,0.0512227082640288,-0.0059663570581389
0.425,-0.0202669259172412,0.052662303071869,-0.0068206273029443
0.4375,-0.0214872818047106,0.0541136579598767,-0.007846265987667
0.45,-0.0225031183505159,0.0555777501251816,-0.00897905114588821
0.4625,-0.0233480242431051,0.0570530545045522,-0.0101335628548536
0.475,-0.0240762215121559,0.0585357851658081,-0.0112154297213328
0.4875,-0.0247552801707174,0.0600203389139926,-0.0121357333544553
0.5,-0.0254475968541928,0.0615009532272277,-0.0128250509972643
0.5125,-0.0261979765821385,0.0629730232150641,-0.0132451351584458
0.525,-0.0270220160549377,0.0644345204754381,-0.0133934082411002
0.5375,-0.0279030723494486,0.0658866758710609,-0.0133023060997914
0.55,-0.0287963892225106,0.0673339321542247,-0.0130327946559507
0.5625,-0.0296424484976978,0.0687828128963134,-0.0126616284054077
0.575,-0.0303836547067312,0.0702402150889192,-0.0122677649939013
0.5875,-0.0309810748094982,0.071711446818,-0.0119180054598376
0.6,-0.0314253804448459,0.0731987011309524,-0.0116567566996054
0.6125,-0.0317374609813394,0.0747006141344925,-0.0115010620903416
0.625,-0.0319629959793197,0.0762125581893303,-0.0114406726735119
0.6375,-0.0321616239729142,0.0777276953935073,-0.0114443244651942
0.65,-0.0323874087631423,0.0792393090503838,-0.0114683809061838
0.6625,-0.0326779522429783,0.0807422962889771,-0.011468936296018
0.675,-0.0330449724151697,0.0822346285739951,-0.0114111643256823
0.6875,-0.0334748075020538,0.0837176059608714,-0.0112737312916012
0.7,-0.033936772519402,0.085195018499389,-0.0110510253323659
0.712499999999999,-0.0343943674707695,0.0866717813607588,-0.0107499172999461
0.724999999999999,-0.0348181504223241,0.0881521634950337,-0.0103845204001309
0.737499999999999,-0.0351964863437,0.0896381326793807,-0.0099716712344082
0.749999999999999,-0.0355375383120187,0.091128837533996,-0.0095274925137727
0.762499999999999,-0.0358644428024151,0.0926210870410054,-0.0090657407433945
0.774999999999999,-0.0362054172219755,0.0941106792168054,-0.0085992244936855
0.787499999999999,-0.0365781456074389,0.0955947701679672,-0.00814388052737181
0.799999999999999,-0.0369804479664203,0.0970734835202722,-0.0077213888664044
0.812499999999999,-0.0373829934269273,0.0985513322304131,-0.00736018012425321
0.824999999999999,-0.0377316557526444,0.10003717564038,-0.0070918130469864
0.837499999999999,-0.0379582454644843,0.101542751987009,-0.0069485931072775
0.849999999999999,-0.0379970374439239,0.103080073128915,-0.0069523562883112
0.862499999999999,-0.037803053462289,0.104658269386503,-0.0071095030353722
0.874999999999999,-0.0373674693826668,0.106280656002363,-0.0074046106602018
0.887499999999999,-0.036724084180661,0.107943138418804,-0.0077989599211047
0.899999999999999,-0.0359453985098535,0.109634373291439,-0.0082371337359362
0.912499999999999,-0.0351285548931016,0.111337823499537,-0.0086563473820533
0.924999999999999,-0.034374732699617,0.113035227486562,-0.0089978650936195
0.937499999999999,-0.0337642943676557,0.114711172349863,-0.00922060384233681
0.949999999999999,-0.0333407379975968,0.116356383850012,-0.0093095797735016
0.962499999999999,-0.0330957449999811,0.117971052475764,-0.0092805232287623
0.974999999999999,-0.0329755298153467,0.119564261260399,-0.009176355404064
0.987499999999998,-0.0328933647210533,0.121152106093912,-0.00905899354317601
0.999999999999998,-0.0327506968271882,0.122753917357795,-0.0089969986122675
1.0125,-0.0324607943418633,0.124387650001507,-0.0090514645268874
1.025,-0.0319716725820779,0.126065058586181,-0.00926722635677781
1.0375,-0.031275219019047,0.127789370579698,-0.0096648442633879
1.05,-0.0304118206545629,0.129553758653917,-0.0102429569606551
1.0625,-0.0294553729306367,0.131343892569177,-0.010982066755808
1.075,-0.0284980649850664,0.13314076776684,-0.0118520151544964
1.0875,-0.0276279223481914,0.134925337122964,-0.0128205679762254
1.1,-0.0269095757939909,0.136682780573779,-0.0138578444639393
1.1125,-0.026372814707643,0.138405344116569,-0.0149386016018196
1.125,-0.0260089560057495,0.140093601975835,-0.016040098621896
1.1375,-0.0257767782641637,0.141755604220421,-0.0171389722585892
1.15,-0.0256137748348777,0.143404712462727,-0.0182086345413017
1.1625,-0.0254544445244564,0.14505562793392,-0.0192191808578939
1.175,-0.0252426875855045,0.146721520881895,-0.0201396105599874
1.1875,-0.0249438131483012,0.148411059718819,-0.0209440580881092
1.2,-0.0245491754882877,0.150127022226084,-0.0216172992567947
1.2125,-0.0240759392571656,0.15186601542608,-0.0221585546748944
1.225,-0.0235600850911665,0.153619855573783,-0.0225825137554157
1.2375,-0.0230484560365899,0.155377293896506,-0.0229147873514943
1.25,-0.0225889487252443,0.157126330420019,-0.0231848137724737
1.2625,-0.0222238258330185,0.158855890990434,-0.0234166082411713
1.275,-0.0219847015902158,0.160557181313775,-0.0236221930783155
1.2875,-0.0218892745193556,0.162224668678523,-0.0237991958438696
